n,k,theta,tempo_esecuzione, result
512,512,0.700000,0.272946,0
512,512,0.700000,0.104826,0
512,512,0.700000,0.090801,0
512,512,0.700000,0.089812,0
512,512,0.700000,0.088350,0
512,512,0.700000,0.103791,0
512,512,0.700000,0.102455,0
512,512,0.700000,0.113805,0
512,512,0.700000,0.086342,0
512,512,0.700000,0.091362,0
1024,1024,0.700000,0.184994,0
1024,1024,0.700000,0.190596,0
1024,1024,0.700000,0.170286,0
1024,1024,0.700000,0.180545,0
1024,1024,0.700000,0.162077,0
1024,1024,0.700000,0.179989,0
1024,1024,0.700000,0.261178,0
1024,1024,0.700000,0.290760,0
1024,1024,0.700000,0.232598,0
1024,1024,0.700000,0.224674,0
1536,1536,0.700000,0.355155,0
1536,1536,0.700000,0.302519,0
1536,1536,0.700000,0.348496,0
1536,1536,0.700000,0.309718,0
1536,1536,0.700000,0.380900,0
1536,1536,0.700000,0.312754,0
1536,1536,0.700000,0.317368,0
1536,1536,0.700000,0.375509,0
1536,1536,0.700000,0.400725,0
1536,1536,0.700000,0.427748,0
2048,2048,0.700000,0.742117,1
2048,2048,0.700000,0.773608,1
2048,2048,0.700000,0.745670,1
2048,2048,0.700000,0.734165,1
2048,2048,0.700000,0.779588,1
2048,2048,0.700000,0.945286,1
2048,2048,0.700000,0.916033,1
2048,2048,0.700000,0.811125,1
2048,2048,0.700000,0.927921,1
2048,2048,0.700000,0.817611,1
2560,2560,0.700000,0.973028,0
2560,2560,0.700000,0.964443,0
2560,2560,0.700000,0.885667,0
2560,2560,0.700000,0.910149,0
2560,2560,0.700000,1.044657,0
2560,2560,0.700000,0.837237,0
2560,2560,0.700000,0.854354,0
2560,2560,0.700000,0.968023,0
2560,2560,0.700000,0.948195,0
2560,2560,0.700000,0.885275,0
3072,3072,0.700000,1.273600,0
3072,3072,0.700000,1.048559,0
3072,3072,0.700000,1.036371,0
3072,3072,0.700000,1.029746,0
3072,3072,0.700000,1.158325,0
3072,3072,0.700000,1.096869,0
3072,3072,0.700000,1.151078,0
3072,3072,0.700000,1.089970,0
3072,3072,0.700000,1.079465,0
3072,3072,0.700000,1.094102,0
3584,3584,0.700000,1.437803,1
3584,3584,0.700000,1.389522,1
3584,3584,0.700000,1.652605,1
3584,3584,0.700000,1.455799,1
3584,3584,0.700000,1.403457,1
3584,3584,0.700000,1.383973,1
3584,3584,0.700000,1.485614,1
3584,3584,0.700000,1.448705,1
3584,3584,0.700000,1.392713,1
3584,3584,0.700000,1.572470,1
4096,4096,0.700000,1.852199,0
4096,4096,0.700000,1.461078,0
4096,4096,0.700000,1.539157,0
4096,4096,0.700000,1.698137,0
4096,4096,0.700000,1.565773,0
4096,4096,0.700000,1.453898,0
4096,4096,0.700000,1.409996,0
4096,4096,0.700000,1.509197,0
4096,4096,0.700000,1.605970,0
4096,4096,0.700000,1.351087,0
4608,4608,0.700000,1.730837,0
4608,4608,0.700000,1.679718,0
4608,4608,0.700000,1.598525,0
4608,4608,0.700000,1.508034,0
4608,4608,0.700000,1.532443,0
4608,4608,0.700000,1.409871,0
4608,4608,0.700000,1.720048,0
4608,4608,0.700000,1.852103,0
4608,4608,0.700000,2.018069,0
4608,4608,0.700000,1.807303,0
5120,5120,0.700000,2.600744,0
5120,5120,0.700000,2.535976,0
5120,5120,0.700000,2.242279,0
5120,5120,0.700000,2.197437,0
5120,5120,0.700000,2.573158,0
5120,5120,0.700000,2.314614,0
5120,5120,0.700000,2.498599,0
5120,5120,0.700000,2.942004,0
5120,5120,0.700000,2.168118,0
5120,5120,0.700000,2.076800,0
5632,5632,0.700000,2.405725,1
5632,5632,0.700000,2.254753,1
5632,5632,0.700000,2.427457,1
5632,5632,0.700000,2.895371,1
5632,5632,0.700000,2.766466,1
5632,5632,0.700000,2.413005,1
5632,5632,0.700000,3.003294,1
5632,5632,0.700000,2.666251,1
5632,5632,0.700000,2.409365,1
5632,5632,0.700000,2.935662,1
6144,6144,0.700000,3.402314,0
6144,6144,0.700000,3.667116,0
6144,6144,0.700000,3.000743,0
6144,6144,0.700000,2.856067,0
6144,6144,0.700000,3.546280,0
6144,6144,0.700000,3.183558,0
6144,6144,0.700000,3.285467,0
6144,6144,0.700000,3.134994,0
6144,6144,0.700000,3.808385,0
6144,6144,0.700000,3.220560,0
6656,6656,0.700000,3.070852,0
6656,6656,0.700000,3.216115,0
6656,6656,0.700000,3.511298,0
6656,6656,0.700000,2.495848,0
6656,6656,0.700000,2.847389,0
6656,6656,0.700000,2.734209,0
6656,6656,0.700000,3.691431,0
6656,6656,0.700000,3.157974,0
6656,6656,0.700000,2.535637,0
