n,k,theta,tempo_esecuzione, result,check
512,512,0.700000,0.183398,0,1
512,512,0.700000,0.037791,0,1
512,512,0.700000,0.037776,0,1
512,512,0.700000,0.037144,0,1
512,512,0.700000,0.042203,0,1
512,512,0.700000,0.037363,0,1
512,512,0.700000,0.038390,0,1
512,512,0.700000,0.035768,0,1
512,512,0.700000,0.042168,0,1
512,512,0.700000,0.040814,0,1
1024,1024,0.700000,0.075562,0,1
1024,1024,0.700000,0.076085,0,1
1024,1024,0.700000,0.074146,0,1
1024,1024,0.700000,0.079642,0,1
1024,1024,0.700000,0.076660,0,1
1024,1024,0.700000,0.082343,0,1
1024,1024,0.700000,0.077864,0,1
1024,1024,0.700000,0.076677,0,1
1024,1024,0.700000,0.083169,0,1
1024,1024,0.700000,0.077134,0,1
1536,1536,0.700000,0.123962,0,1
1536,1536,0.700000,0.116963,0,1
1536,1536,0.700000,0.117217,0,1
1536,1536,0.700000,0.114601,0,1
1536,1536,0.700000,0.118069,0,1
1536,1536,0.700000,0.124444,0,1
1536,1536,0.700000,0.209569,0,1
1536,1536,0.700000,0.118092,0,1
1536,1536,0.700000,0.113032,0,1
1536,1536,0.700000,0.114214,0,1
2048,2048,0.700000,0.202731,1,1
2048,2048,0.700000,0.210682,1,1
2048,2048,0.700000,0.319804,1,1
2048,2048,0.700000,0.324074,1,1
2048,2048,0.700000,0.322969,1,1
2048,2048,0.700000,0.197837,1,1
2048,2048,0.700000,0.209912,1,1
2048,2048,0.700000,0.193894,1,1
2048,2048,0.700000,0.192797,1,1
2048,2048,0.700000,0.195032,1,1
2560,2560,0.700000,0.209887,0,1
2560,2560,0.700000,0.213676,0,1
2560,2560,0.700000,0.214569,0,1
2560,2560,0.700000,0.222902,0,1
2560,2560,0.700000,0.216299,0,1
2560,2560,0.700000,0.215297,0,1
2560,2560,0.700000,0.236282,0,1
2560,2560,0.700000,0.216773,0,1
2560,2560,0.700000,0.208866,0,1
2560,2560,0.700000,0.214042,0,1
3072,3072,0.700000,0.277310,0,1
