n,k,theta,tempo_esecuzione, result,check
512,512,0.100000,0.198423,1,1
512,512,0.100000,0.050226,1,1
512,512,0.100000,0.050999,1,1
512,512,0.100000,0.054176,1,1
512,512,0.100000,0.055307,1,1
512,512,0.100000,0.053192,1,1
512,512,0.100000,0.055766,1,1
512,512,0.100000,0.061296,1,1
512,512,0.100000,0.061262,1,1
512,512,0.100000,0.062869,1,1
1024,1024,0.100000,0.106443,0,1
1024,1024,0.100000,0.121905,0,1
1024,1024,0.100000,0.126371,0,1
1024,1024,0.100000,0.110264,0,1
1024,1024,0.100000,0.114174,0,1
1024,1024,0.100000,0.134668,0,1
1024,1024,0.100000,0.097962,0,1
1024,1024,0.100000,0.092407,0,1
1024,1024,0.100000,0.093492,0,1
1024,1024,0.100000,0.110574,0,1
1536,1536,0.100000,0.165353,1,1
1536,1536,0.100000,0.164049,1,1
1536,1536,0.100000,0.198736,1,1
1536,1536,0.100000,0.201486,1,1
1536,1536,0.100000,0.168454,1,1
1536,1536,0.100000,0.204347,1,1
1536,1536,0.100000,0.208123,1,1
1536,1536,0.100000,0.186358,1,1
1536,1536,0.100000,0.183626,1,1
1536,1536,0.100000,0.183162,1,1
2048,2048,0.100000,0.278655,0,1
2048,2048,0.100000,0.255445,0,1
2048,2048,0.100000,0.226639,0,1
2048,2048,0.100000,0.217502,0,1
2048,2048,0.100000,0.277468,0,1
2048,2048,0.100000,0.219860,0,1
2048,2048,0.100000,0.218481,0,1
2048,2048,0.100000,0.238294,0,1
2048,2048,0.100000,0.213041,0,1
2048,2048,0.100000,0.217646,0,1
2560,2560,0.100000,0.343050,0,1
2560,2560,0.100000,0.270904,0,1
2560,2560,0.100000,0.261568,0,1
2560,2560,0.100000,0.381486,0,1
2560,2560,0.100000,0.305875,0,1
2560,2560,0.100000,0.292204,0,1
2560,2560,0.100000,0.270567,0,1
2560,2560,0.100000,0.272179,0,1
2560,2560,0.100000,0.272429,0,1
2560,2560,0.100000,0.315840,0,1
3072,3072,0.100000,0.345157,0,1
3072,3072,0.100000,0.385403,0,1
3072,3072,0.100000,0.356798,0,1
3072,3072,0.100000,0.380157,0,1
3072,3072,0.100000,0.354896,0,1
3072,3072,0.100000,0.450180,0,1
3072,3072,0.100000,0.385637,0,1
3072,3072,0.100000,0.379067,0,1
3072,3072,0.100000,0.346889,0,1
3072,3072,0.100000,0.379257,0,1
