n,k,theta,tempo_esecuzione, result,check
512,512,0.500000,0.592753,0,1
512,512,0.500000,0.089601,0,1
512,512,0.500000,0.090646,0,1
512,512,0.500000,0.090317,0,1
512,512,0.500000,0.162379,0,1
512,512,0.500000,0.117927,0,1
512,512,0.500000,0.087627,0,1
512,512,0.500000,0.104012,0,1
512,512,0.500000,0.105403,0,1
512,512,0.500000,0.101191,0,1
1024,1024,0.500000,0.176026,0,1
1024,1024,0.500000,0.242829,0,1
1024,1024,0.500000,0.208336,0,1
1024,1024,0.500000,0.230137,0,1
1024,1024,0.500000,0.223829,0,1
1024,1024,0.500000,0.188748,0,1
1024,1024,0.500000,0.182593,0,1
1024,1024,0.500000,0.228295,0,1
1024,1024,0.500000,0.215383,0,1
1024,1024,0.500000,0.167250,0,1
1536,1536,0.500000,0.305961,0,1
1536,1536,0.500000,0.322668,0,1
1536,1536,0.500000,0.316650,0,1
1536,1536,0.500000,0.367887,0,1
1536,1536,0.500000,0.355081,0,1
1536,1536,0.500000,0.289318,0,1
1536,1536,0.500000,0.319165,0,1
1536,1536,0.500000,0.288310,0,1
1536,1536,0.500000,0.292411,0,1
1536,1536,0.500000,0.380083,0,1
2048,2048,0.500000,0.559379,0,1
2048,2048,0.500000,0.620466,0,1
2048,2048,0.500000,0.665598,0,1
2048,2048,0.500000,0.630605,0,1
2048,2048,0.500000,0.697134,0,1
2048,2048,0.500000,0.741751,0,1
2048,2048,0.500000,0.670434,0,1
2048,2048,0.500000,0.652934,0,1
2048,2048,0.500000,0.740236,0,1
2048,2048,0.500000,0.643426,0,1
2560,2560,0.500000,0.799800,0,1
2560,2560,0.500000,0.772592,0,1
2560,2560,0.500000,0.841104,0,1
2560,2560,0.500000,0.985352,0,1
2560,2560,0.500000,0.887997,0,1
2560,2560,0.500000,0.979265,0,1
2560,2560,0.500000,0.910390,0,1
2560,2560,0.500000,0.855172,0,1
2560,2560,0.500000,0.840054,0,1
2560,2560,0.500000,0.842132,0,1
3072,3072,0.500000,1.209366,0,1
3072,3072,0.500000,1.147274,0,1
3072,3072,0.500000,1.113648,0,1
3072,3072,0.500000,1.063093,0,1
3072,3072,0.500000,0.990919,0,1
3072,3072,0.500000,1.023581,0,1
3072,3072,0.500000,1.128826,0,1
3072,3072,0.500000,1.204574,0,1
3072,3072,0.500000,1.076373,0,1
3072,3072,0.500000,0.983864,0,1
3584,3584,0.500000,1.449562,1,1
3584,3584,0.500000,1.347470,1,1
3584,3584,0.500000,1.278250,1,1
3584,3584,0.500000,1.300139,1,1
3584,3584,0.500000,1.462206,1,1
3584,3584,0.500000,1.298478,1,1
3584,3584,0.500000,1.322399,1,1
3584,3584,0.500000,1.457720,1,1
3584,3584,0.500000,1.262754,1,1
3584,3584,0.500000,1.319513,1,1
4096,4096,0.500000,1.374947,0,1
4096,4096,0.500000,1.410976,0,1
4096,4096,0.500000,1.693453,0,1
4096,4096,0.500000,1.305072,0,1
4096,4096,0.500000,1.245109,0,1
4096,4096,0.500000,1.223024,0,1
4096,4096,0.500000,1.295124,0,1
4096,4096,0.500000,1.249283,0,1
4096,4096,0.500000,1.193827,0,1
4096,4096,0.500000,1.340306,0,1
4608,4608,0.500000,1.646174,0,1
4608,4608,0.500000,1.636074,0,1
4608,4608,0.500000,1.515360,0,1
4608,4608,0.500000,1.565005,0,1
4608,4608,0.500000,1.428770,0,1
4608,4608,0.500000,1.463640,0,1
4608,4608,0.500000,1.376393,0,1
4608,4608,0.500000,1.405656,0,1
4608,4608,0.500000,1.662874,0,1
4608,4608,0.500000,1.649973,0,1
5120,5120,0.500000,1.569662,0,1
5120,5120,0.500000,1.509542,0,1
5120,5120,0.500000,1.566124,0,1
5120,5120,0.500000,1.599870,0,1
5120,5120,0.500000,1.726331,0,1
5120,5120,0.500000,1.577354,0,1
5120,5120,0.500000,1.454759,0,1
5120,5120,0.500000,1.611505,0,1
5120,5120,0.500000,1.571484,0,1
5120,5120,0.500000,1.381862,0,1
5632,5632,0.500000,1.810297,1,1
5632,5632,0.500000,2.043917,1,1
5632,5632,0.500000,2.103696,1,1
5632,5632,0.500000,1.812588,1,1
5632,5632,0.500000,2.041225,1,1
5632,5632,0.500000,2.118604,1,1
5632,5632,0.500000,2.258266,1,1
5632,5632,0.500000,1.810076,1,1
5632,5632,0.500000,2.140511,1,1
5632,5632,0.500000,2.038198,1,1
6144,6144,0.500000,2.470541,0,1
6144,6144,0.500000,1.845834,0,1
6144,6144,0.500000,1.875310,0,1
6144,6144,0.500000,1.793968,0,1
6144,6144,0.500000,2.055251,0,1
6144,6144,0.500000,1.997963,0,1
6144,6144,0.500000,1.816760,0,1
6144,6144,0.500000,1.733853,0,1
6144,6144,0.500000,1.756810,0,1
6144,6144,0.500000,2.009060,0,1
6656,6656,0.500000,1.992796,0,1
6656,6656,0.500000,2.026362,0,1
6656,6656,0.500000,2.143655,0,1
6656,6656,0.500000,2.211899,0,1
6656,6656,0.500000,2.384600,0,1
6656,6656,0.500000,2.660008,0,1
6656,6656,0.500000,2.091757,0,1
6656,6656,0.500000,2.085225,0,1
6656,6656,0.500000,1.972875,0,1
6656,6656,0.500000,2.182300,0,1
7168,7168,0.500000,2.958333,1,1
7168,7168,0.500000,2.867537,1,1
7168,7168,0.500000,2.842459,1,1
7168,7168,0.500000,2.983552,1,1
7168,7168,0.500000,2.903146,1,1
7168,7168,0.500000,2.934637,1,1
7168,7168,0.500000,2.997486,1,1
7168,7168,0.500000,2.917996,1,1
7168,7168,0.500000,2.808623,1,1
7168,7168,0.500000,2.892448,1,1
7680,7680,0.500000,3.121074,1,1
7680,7680,0.500000,3.145749,1,1
7680,7680,0.500000,3.088883,1,1
7680,7680,0.500000,3.064530,1,1
7680,7680,0.500000,3.128537,1,1
7680,7680,0.500000,3.224000,1,1
7680,7680,0.500000,3.173680,1,1
7680,7680,0.500000,3.133417,1,1
7680,7680,0.500000,3.278826,1,1
7680,7680,0.500000,3.239936,1,1
8192,8192,0.500000,3.828129,1,1
8192,8192,0.500000,3.465096,1,1
8192,8192,0.500000,3.530732,1,1
8192,8192,0.500000,3.588707,1,1
8192,8192,0.500000,3.687403,1,1
8192,8192,0.500000,3.594042,1,1
8192,8192,0.500000,3.799016,1,1
8192,8192,0.500000,3.746806,1,1
8192,8192,0.500000,3.404977,1,1
8192,8192,0.500000,3.373059,1,1
8704,8704,0.500000,4.041647,1,1
8704,8704,0.500000,4.226788,1,1
8704,8704,0.500000,3.714610,1,1
8704,8704,0.500000,3.994832,1,1
8704,8704,0.500000,3.879742,1,1
8704,8704,0.500000,3.783314,1,1
8704,8704,0.500000,4.194034,1,1
8704,8704,0.500000,3.636757,1,1
8704,8704,0.500000,4.068256,1,1
8704,8704,0.500000,3.877673,1,1
9216,9216,0.500000,3.890474,0,1
9216,9216,0.500000,4.051282,0,1
9216,9216,0.500000,3.882605,0,1
9216,9216,0.500000,3.879192,0,1
9216,9216,0.500000,3.912782,0,1
9216,9216,0.500000,4.323369,0,1
9216,9216,0.500000,4.008200,0,1
9216,9216,0.500000,4.049832,0,1
9216,9216,0.500000,4.312060,0,1
9216,9216,0.500000,4.009613,0,1
9728,9728,0.500000,5.396897,1,1
9728,9728,0.500000,5.336138,1,1
9728,9728,0.500000,5.430261,1,1
9728,9728,0.500000,5.301782,1,1
9728,9728,0.500000,5.237859,1,1
9728,9728,0.500000,5.057828,1,1
9728,9728,0.500000,5.211350,1,1
9728,9728,0.500000,5.378627,1,1
9728,9728,0.500000,5.297242,1,1
9728,9728,0.500000,5.069363,1,1
10240,10240,0.500000,5.558069,1,1
10240,10240,0.500000,5.834466,1,1
10240,10240,0.500000,5.473058,1,1
10240,10240,0.500000,5.925520,1,1
10240,10240,0.500000,6.022833,1,1
10240,10240,0.500000,5.516752,1,1
10240,10240,0.500000,5.483297,1,1
10240,10240,0.500000,4.986896,1,1
10240,10240,0.500000,5.427047,1,1
10240,10240,0.500000,5.574222,1,1
10752,10752,0.500000,6.296616,1,1
10752,10752,0.500000,6.183830,1,1
10752,10752,0.500000,6.247145,1,1
10752,10752,0.500000,6.610407,1,1
10752,10752,0.500000,6.195340,1,1
10752,10752,0.500000,6.240876,1,1
10752,10752,0.500000,6.230946,1,1
10752,10752,0.500000,6.329077,1,1
10752,10752,0.500000,6.127433,1,1
10752,10752,0.500000,6.425009,1,1
11264,11264,0.500000,5.720380,0,1
11264,11264,0.500000,5.756674,0,1
11264,11264,0.500000,5.708833,0,1
11264,11264,0.500000,5.918586,0,1
11264,11264,0.500000,5.723269,0,1
11264,11264,0.500000,5.805073,0,1
11264,11264,0.500000,5.629892,0,1
11264,11264,0.500000,6.229203,0,1
11264,11264,0.500000,5.881366,0,1
11264,11264,0.500000,5.911342,0,1
11776,11776,0.500000,6.267977,0,1
11776,11776,0.500000,6.329289,0,1
11776,11776,0.500000,6.161110,0,1
11776,11776,0.500000,6.215199,0,1
11776,11776,0.500000,6.357661,0,1
11776,11776,0.500000,6.558137,0,1
11776,11776,0.500000,6.346342,0,1
11776,11776,0.500000,6.325277,0,1
11776,11776,0.500000,6.137368,0,1
11776,11776,0.500000,6.323962,0,1
12288,12288,0.500000,7.077478,0,1
12288,12288,0.500000,6.924309,0,1
12288,12288,0.500000,6.859898,0,1
12288,12288,0.500000,7.147577,0,1
12288,12288,0.500000,6.888396,0,1
12288,12288,0.500000,6.657310,0,1
12288,12288,0.500000,6.674333,0,1
12288,12288,0.500000,6.562202,0,1
12288,12288,0.500000,6.781402,0,1
12288,12288,0.500000,7.215901,0,1
12800,12800,0.500000,7.472775,0,1
12800,12800,0.500000,7.576996,0,1
12800,12800,0.500000,7.753559,0,1
12800,12800,0.500000,7.553115,0,1
12800,12800,0.500000,7.566620,0,1
12800,12800,0.500000,7.541689,0,1
12800,12800,0.500000,7.420784,0,1
12800,12800,0.500000,7.510744,0,1
12800,12800,0.500000,7.620285,0,1
12800,12800,0.500000,7.605967,0,1
13312,13312,0.500000,9.215948,1,1
13312,13312,0.500000,9.241753,1,1
13312,13312,0.500000,9.438080,1,1
13312,13312,0.500000,9.289456,1,1
13312,13312,0.500000,9.304487,1,1
13312,13312,0.500000,9.379998,1,1
13312,13312,0.500000,9.439934,1,1
13312,13312,0.500000,9.325418,1,1
13312,13312,0.500000,9.280802,1,1
13312,13312,0.500000,9.170212,1,1
13824,13824,0.500000,8.696454,0,1
13824,13824,0.500000,8.800767,0,1
13824,13824,0.500000,8.834375,0,1
13824,13824,0.500000,8.905561,0,1
13824,13824,0.500000,8.656113,0,1
13824,13824,0.500000,8.805757,0,1
13824,13824,0.500000,8.559808,0,1
13824,13824,0.500000,8.566899,0,1
13824,13824,0.500000,8.522174,0,1
13824,13824,0.500000,8.679803,0,1
14336,14336,0.500000,10.746060,1,1
14336,14336,0.500000,10.793694,1,1
14336,14336,0.500000,10.901513,1,1
14336,14336,0.500000,10.845275,1,1
14336,14336,0.500000,10.766109,1,1
14336,14336,0.500000,10.945015,1,1
14336,14336,0.500000,10.703689,1,1
14336,14336,0.500000,10.930711,1,1
14336,14336,0.500000,10.735222,1,1
14336,14336,0.500000,10.716644,1,1
14848,14848,0.500000,11.738795,1,1
14848,14848,0.500000,11.864106,1,1
14848,14848,0.500000,11.566709,1,1
14848,14848,0.500000,11.959034,1,1
14848,14848,0.500000,11.494735,1,1
14848,14848,0.500000,11.689308,1,1
14848,14848,0.500000,11.454406,1,1
14848,14848,0.500000,11.696262,1,1
14848,14848,0.500000,11.637504,1,1
14848,14848,0.500000,11.726489,1,1
15360,15360,0.500000,12.354450,1,1
15360,15360,0.500000,12.355884,1,1
15360,15360,0.500000,12.625662,1,1
15360,15360,0.500000,12.588321,1,1
15360,15360,0.500000,12.497579,1,1
15360,15360,0.500000,12.193345,1,1
15360,15360,0.500000,12.341760,1,1
15360,15360,0.500000,12.290303,1,1
15360,15360,0.500000,12.281468,1,1
15360,15360,0.500000,12.430144,1,1
15872,15872,0.500000,11.674731,0,1
15872,15872,0.500000,11.379851,0,1
15872,15872,0.500000,11.438151,0,1
15872,15872,0.500000,11.603303,0,1
15872,15872,0.500000,11.318702,0,1
15872,15872,0.500000,11.344939,0,1
15872,15872,0.500000,11.815745,0,1
15872,15872,0.500000,11.276515,0,1
15872,15872,0.500000,11.283901,0,1
15872,15872,0.500000,11.510002,0,1
16384,16384,0.500000,14.363253,1,1
16384,16384,0.500000,14.376563,1,1
16384,16384,0.500000,14.657703,1,1
16384,16384,0.500000,14.553986,1,1
16384,16384,0.500000,14.217396,1,1
16384,16384,0.500000,14.641903,1,1
16384,16384,0.500000,14.511322,1,1
16384,16384,0.500000,14.238839,1,1
16384,16384,0.500000,14.147049,1,1
16384,16384,0.500000,13.795805,1,1
16896,16896,0.500000,15.276597,1,1
16896,16896,0.500000,15.330218,1,1
16896,16896,0.500000,15.434553,1,1
16896,16896,0.500000,15.101943,1,1
16896,16896,0.500000,15.313328,1,1
16896,16896,0.500000,15.162869,1,1
16896,16896,0.500000,15.386494,1,1
16896,16896,0.500000,15.188860,1,1
16896,16896,0.500000,14.955132,1,1
16896,16896,0.500000,15.427149,1,1
17408,17408,0.500000,13.676628,0,1
17408,17408,0.500000,13.795330,0,1
17408,17408,0.500000,13.961672,0,1
17408,17408,0.500000,13.729422,0,1
17408,17408,0.500000,13.832163,0,1
17408,17408,0.500000,13.754400,0,1
17408,17408,0.500000,13.773444,0,1
17408,17408,0.500000,13.562851,0,1
17408,17408,0.500000,13.678414,0,1
17408,17408,0.500000,13.969448,0,1
17920,17920,0.500000,17.558688,1,1
17920,17920,0.500000,17.244044,1,1
17920,17920,0.500000,17.252361,1,1
17920,17920,0.500000,17.448965,1,1
17920,17920,0.500000,17.279151,1,1
17920,17920,0.500000,17.500387,1,1
17920,17920,0.500000,17.428867,1,1
17920,17920,0.500000,17.405093,1,1
17920,17920,0.500000,17.369180,1,1
17920,17920,0.500000,17.282430,1,1
18432,18432,0.500000,18.369665,1,1
18432,18432,0.500000,18.357053,1,1
18432,18432,0.500000,18.140784,1,1
18432,18432,0.500000,18.270815,1,1
18432,18432,0.500000,18.142037,1,1
18432,18432,0.500000,18.417232,1,1
18432,18432,0.500000,18.081089,1,1
18432,18432,0.500000,18.158594,1,1
18432,18432,0.500000,18.277624,1,1
18432,18432,0.500000,18.383368,1,1
18944,18944,0.500000,16.493368,0,1
18944,18944,0.500000,16.648349,0,1
18944,18944,0.500000,16.476737,0,1
18944,18944,0.500000,16.707867,0,1
18944,18944,0.500000,16.548448,0,1
18944,18944,0.500000,16.531703,0,1
18944,18944,0.500000,16.656686,0,1
18944,18944,0.500000,16.707871,0,1
18944,18944,0.500000,16.777186,0,1
18944,18944,0.500000,16.405699,0,1
19456,19456,0.500000,17.972693,0,1
19456,19456,0.500000,18.017876,0,1
19456,19456,0.500000,17.781319,0,1
19456,19456,0.500000,17.891629,0,1
19456,19456,0.500000,17.618249,0,1
19456,19456,0.500000,17.371485,0,1
19456,19456,0.500000,17.461494,0,1
19456,19456,0.500000,17.730087,0,1
19456,19456,0.500000,17.625211,0,1
19456,19456,0.500000,17.906230,0,1
19968,19968,0.500000,22.193349,1,1
19968,19968,0.500000,21.619692,1,1
19968,19968,0.500000,21.939581,1,1
19968,19968,0.500000,21.792491,1,1
19968,19968,0.500000,21.624157,1,1
19968,19968,0.500000,21.581604,1,1
19968,19968,0.500000,21.758772,1,1
19968,19968,0.500000,21.839709,1,1
19968,19968,0.500000,21.874858,1,1
19968,19968,0.500000,22.027352,1,1
20480,20480,0.500000,23.033239,1,1
20480,20480,0.500000,23.525012,1,1
20480,20480,0.500000,23.285260,1,1
20480,20480,0.500000,23.266875,1,1
20480,20480,0.500000,23.035109,1,1
20480,20480,0.500000,22.803560,1,1
20480,20480,0.500000,22.929459,1,1
20480,20480,0.500000,23.456095,1,1
20480,20480,0.500000,23.322566,1,1
20480,20480,0.500000,22.947675,1,1
