n,k,theta,tempo_esecuzione, result,check
512,512,0.300000,0.177709,1,1
512,512,0.300000,0.052684,1,1
512,512,0.300000,0.056899,1,1
512,512,0.300000,0.056975,1,1
512,512,0.300000,0.056158,1,1
512,512,0.300000,0.053154,1,1
512,512,0.300000,0.055251,1,1
512,512,0.300000,0.052968,1,1
512,512,0.300000,0.053614,1,1
512,512,0.300000,0.055576,1,1
1024,1024,0.300000,0.116254,1,1
1024,1024,0.300000,0.110109,1,1
1024,1024,0.300000,0.116303,1,1
1024,1024,0.300000,0.109352,1,1
1024,1024,0.300000,0.110017,1,1
1024,1024,0.300000,0.110861,1,1
1024,1024,0.300000,0.142554,1,1
1024,1024,0.300000,0.098837,1,1
1024,1024,0.300000,0.112319,1,1
1024,1024,0.300000,0.116651,1,1
1536,1536,0.300000,0.223607,1,1
1536,1536,0.300000,0.182267,1,1
1536,1536,0.300000,0.176735,1,1
1536,1536,0.300000,0.190841,1,1
1536,1536,0.300000,0.189571,1,1
1536,1536,0.300000,0.177581,1,1
1536,1536,0.300000,0.176194,1,1
1536,1536,0.300000,0.190692,1,1
1536,1536,0.300000,0.185273,1,1
1536,1536,0.300000,0.190347,1,1
2048,2048,0.300000,0.313342,1,1
2048,2048,0.300000,0.279554,1,1
2048,2048,0.300000,0.266219,1,1
2048,2048,0.300000,0.264597,1,1
2048,2048,0.300000,0.314487,1,1
2048,2048,0.300000,0.285215,1,1
2048,2048,0.300000,0.341907,1,1
2048,2048,0.300000,0.266052,1,1
2048,2048,0.300000,0.248052,1,1
2048,2048,0.300000,0.250594,1,1
2560,2560,0.300000,0.274247,0,1
2560,2560,0.300000,0.319860,0,1
2560,2560,0.300000,0.248231,0,1
2560,2560,0.300000,0.266690,0,1
2560,2560,0.300000,0.281826,0,1
2560,2560,0.300000,0.284806,0,1
2560,2560,0.300000,0.283194,0,1
2560,2560,0.300000,0.273202,0,1
2560,2560,0.300000,0.266915,0,1
2560,2560,0.300000,0.331315,0,1
3072,3072,0.300000,0.374528,0,1
3072,3072,0.300000,0.442879,0,1
3072,3072,0.300000,0.383021,0,1
3072,3072,0.300000,0.386199,0,1
3072,3072,0.300000,0.350410,0,1
3072,3072,0.300000,0.371506,0,1
3072,3072,0.300000,0.405901,0,1
3072,3072,0.300000,0.363659,0,1
3072,3072,0.300000,0.370893,0,1
3072,3072,0.300000,0.378493,0,1
3584,3584,0.300000,0.582077,1,1
3584,3584,0.300000,0.528770,1,1
3584,3584,0.300000,0.506454,1,1
3584,3584,0.300000,0.580868,1,1
3584,3584,0.300000,0.596377,1,1
3584,3584,0.300000,0.516232,1,1
3584,3584,0.300000,0.543922,1,1
3584,3584,0.300000,0.546587,1,1
3584,3584,0.300000,0.542789,1,1
3584,3584,0.300000,0.505397,1,1
4096,4096,0.300000,0.528241,0,1
4096,4096,0.300000,0.515027,0,1
4096,4096,0.300000,0.571487,0,1
4096,4096,0.300000,0.502966,0,1
4096,4096,0.300000,0.545358,0,1
4096,4096,0.300000,0.511399,0,1
4096,4096,0.300000,0.522076,0,1
4096,4096,0.300000,0.521540,0,1
4096,4096,0.300000,0.518101,0,1
4096,4096,0.300000,0.576986,0,1
4608,4608,0.300000,0.579956,0,1
4608,4608,0.300000,0.599475,0,1
4608,4608,0.300000,0.565803,0,1
4608,4608,0.300000,0.571485,0,1
4608,4608,0.300000,0.575796,0,1
4608,4608,0.300000,0.590715,0,1
4608,4608,0.300000,0.655853,0,1
4608,4608,0.300000,0.580638,0,1
4608,4608,0.300000,0.572419,0,1
4608,4608,0.300000,0.569142,0,1
5120,5120,0.300000,0.703097,0,1
5120,5120,0.300000,0.777155,0,1
5120,5120,0.300000,0.732910,0,1
5120,5120,0.300000,0.761693,0,1
5120,5120,0.300000,0.746246,0,1
5120,5120,0.300000,0.779368,0,1
5120,5120,0.300000,0.746197,0,1
5120,5120,0.300000,0.698621,0,1
5120,5120,0.300000,0.747226,0,1
5120,5120,0.300000,0.743259,0,1
5632,5632,0.300000,0.794421,0,1
5632,5632,0.300000,0.790939,0,1
5632,5632,0.300000,0.821877,0,1
5632,5632,0.300000,0.834343,0,1
5632,5632,0.300000,0.778415,0,1
5632,5632,0.300000,0.776423,0,1
5632,5632,0.300000,0.776862,0,1
5632,5632,0.300000,0.779164,0,1
5632,5632,0.300000,0.782924,0,1
5632,5632,0.300000,0.756277,0,1
6144,6144,0.300000,0.914496,0,1
