n,k,theta,tempo_esecuzione, result
512,512,0.300000,0.201368,1
512,512,0.300000,0.092594,1
512,512,0.300000,0.090751,1
512,512,0.300000,0.131714,1
512,512,0.300000,0.099111,1
512,512,0.300000,0.093890,1
512,512,0.300000,0.102345,1
512,512,0.300000,0.098911,1
512,512,0.300000,0.101956,1
512,512,0.300000,0.086429,1
1024,1024,0.300000,0.191418,1
1024,1024,0.300000,0.198776,1
1024,1024,0.300000,0.220372,1
1024,1024,0.300000,0.179314,1
1024,1024,0.300000,0.244694,1
1024,1024,0.300000,0.248626,1
1024,1024,0.300000,0.219256,1
1024,1024,0.300000,0.246443,1
1024,1024,0.300000,0.208246,1
1024,1024,0.300000,0.240196,1
1536,1536,0.300000,0.322093,1
1536,1536,0.300000,0.385372,1
1536,1536,0.300000,0.411878,1
1536,1536,0.300000,0.349440,1
1536,1536,0.300000,0.349220,1
1536,1536,0.300000,0.368400,1
1536,1536,0.300000,0.362293,1
1536,1536,0.300000,0.448401,1
1536,1536,0.300000,0.453929,1
1536,1536,0.300000,0.416896,1
2048,2048,0.300000,0.730791,1
2048,2048,0.300000,0.521316,1
2048,2048,0.300000,0.594453,1
2048,2048,0.300000,0.634904,1
2048,2048,0.300000,0.602745,1
2048,2048,0.300000,0.657675,1
2048,2048,0.300000,0.803266,1
2048,2048,0.300000,0.778544,1
2048,2048,0.300000,0.622298,1
2048,2048,0.300000,0.788296,1
2560,2560,0.300000,0.903916,0
2560,2560,0.300000,0.779932,0
2560,2560,0.300000,0.624318,0
2560,2560,0.300000,0.653093,0
2560,2560,0.300000,0.741014,0
2560,2560,0.300000,0.731649,0
2560,2560,0.300000,0.788763,0
2560,2560,0.300000,0.701845,0
2560,2560,0.300000,0.711118,0
2560,2560,0.300000,0.712917,0
3072,3072,0.300000,1.057726,0
3072,3072,0.300000,0.877141,0
3072,3072,0.300000,0.942766,0
3072,3072,0.300000,1.009577,0
3072,3072,0.300000,0.961967,0
3072,3072,0.300000,0.919821,0
3072,3072,0.300000,0.882349,0
3072,3072,0.300000,0.909592,0
3072,3072,0.300000,0.826488,0
3072,3072,0.300000,0.886256,0
3584,3584,0.300000,1.184242,1
3584,3584,0.300000,1.165076,1
3584,3584,0.300000,1.139794,1
3584,3584,0.300000,1.209692,1
3584,3584,0.300000,1.200910,1
3584,3584,0.300000,1.211855,1
3584,3584,0.300000,1.166091,1
3584,3584,0.300000,1.081246,1
3584,3584,0.300000,1.243688,1
3584,3584,0.300000,1.006655,1
4096,4096,0.300000,1.252274,0
4096,4096,0.300000,0.912071,0
4096,4096,0.300000,1.133419,0
4096,4096,0.300000,1.110397,0
4096,4096,0.300000,1.066743,0
4096,4096,0.300000,1.126108,0
4096,4096,0.300000,1.169909,0
4096,4096,0.300000,1.193163,0
4096,4096,0.300000,1.279602,0
4096,4096,0.300000,1.280907,0
4608,4608,0.300000,1.507298,0
4608,4608,0.300000,1.582735,0
4608,4608,0.300000,1.630465,0
4608,4608,0.300000,1.605897,0
4608,4608,0.300000,1.499333,0
4608,4608,0.300000,1.506054,0
4608,4608,0.300000,1.432359,0
4608,4608,0.300000,1.349783,0
4608,4608,0.300000,1.415431,0
4608,4608,0.300000,1.512764,0
5120,5120,0.300000,1.771131,0
5120,5120,0.300000,1.650321,0
5120,5120,0.300000,1.528740,0
5120,5120,0.300000,1.532441,0
5120,5120,0.300000,1.506716,0
5120,5120,0.300000,1.425638,0
5120,5120,0.300000,1.408097,0
5120,5120,0.300000,1.325881,0
5120,5120,0.300000,1.408522,0
5120,5120,0.300000,1.547023,0
5632,5632,0.300000,1.547393,0
5632,5632,0.300000,1.711294,0
5632,5632,0.300000,1.821094,0
5632,5632,0.300000,1.801654,0
5632,5632,0.300000,1.987631,0
5632,5632,0.300000,1.871368,0
5632,5632,0.300000,1.618527,0
5632,5632,0.300000,1.846773,0
5632,5632,0.300000,1.728347,0
5632,5632,0.300000,1.662432,0
