n,k,theta,tempo_esecuzione, result
512,512,0.500000,0.203592,0
512,512,0.500000,0.066398,0
512,512,0.500000,0.060389,0
512,512,0.500000,0.062694,0
512,512,0.500000,0.065750,0
512,512,0.500000,0.102138,0
512,512,0.500000,0.057351,0
512,512,0.500000,0.069435,0
512,512,0.500000,0.103550,0
512,512,0.500000,0.074370,0
1024,1024,0.500000,0.215166,0
1024,1024,0.500000,0.297070,0
1024,1024,0.500000,0.192346,0
1024,1024,0.500000,0.179515,0
1024,1024,0.500000,0.197395,0
1024,1024,0.500000,0.185715,0
1024,1024,0.500000,0.180452,0
1024,1024,0.500000,0.186421,0
1024,1024,0.500000,0.209958,0
1024,1024,0.500000,0.200381,0
1536,1536,0.500000,0.408457,0
1536,1536,0.500000,0.393721,0
1536,1536,0.500000,0.403789,0
1536,1536,0.500000,0.412451,0
1536,1536,0.500000,0.428126,0
1536,1536,0.500000,0.558597,0
1536,1536,0.500000,0.395149,0
1536,1536,0.500000,0.388961,0
1536,1536,0.500000,0.430669,0
1536,1536,0.500000,0.433607,0
2048,2048,0.500000,0.880702,0
2048,2048,0.500000,0.929555,0
2048,2048,0.500000,0.945101,0
2048,2048,0.500000,0.974872,0
2048,2048,0.500000,0.978252,0
2048,2048,0.500000,0.921058,0
2048,2048,0.500000,0.983003,0
2048,2048,0.500000,0.945809,0
2048,2048,0.500000,0.971221,0
2048,2048,0.500000,0.872821,0
2560,2560,0.500000,1.691298,0
2560,2560,0.500000,1.665025,0
2560,2560,0.500000,1.598714,0
2560,2560,0.500000,1.694166,0
2560,2560,0.500000,1.554747,0
2560,2560,0.500000,1.567176,0
2560,2560,0.500000,1.613584,0
2560,2560,0.500000,1.635241,0
2560,2560,0.500000,1.613890,0
2560,2560,0.500000,1.624746,0
3072,3072,0.500000,2.380893,0
3072,3072,0.500000,2.465041,0
3072,3072,0.500000,2.316748,0
3072,3072,0.500000,2.340731,0
3072,3072,0.500000,2.321316,0
3072,3072,0.500000,2.325048,0
3072,3072,0.500000,2.283098,0
3072,3072,0.500000,2.535431,0
3072,3072,0.500000,2.317477,0
3072,3072,0.500000,2.422540,0
3584,3584,0.500000,3.306483,1
3584,3584,0.500000,3.165195,1
3584,3584,0.500000,3.172633,1
3584,3584,0.500000,3.202319,1
3584,3584,0.500000,3.198425,1
3584,3584,0.500000,3.182354,1
3584,3584,0.500000,3.121586,1
3584,3584,0.500000,3.204317,1
3584,3584,0.500000,3.110288,1
3584,3584,0.500000,3.118062,1
4096,4096,0.500000,4.421122,0
4096,4096,0.500000,4.314193,0
4096,4096,0.500000,4.386744,0
4096,4096,0.500000,4.279816,0
4096,4096,0.500000,4.332651,0
4096,4096,0.500000,4.422581,0
4096,4096,0.500000,4.305709,0
4096,4096,0.500000,4.256560,0
4096,4096,0.500000,4.320783,0
4096,4096,0.500000,4.305151,0
4608,4608,0.500000,5.776930,0
4608,4608,0.500000,5.896025,0
4608,4608,0.500000,5.792478,0
4608,4608,0.500000,5.660095,0
4608,4608,0.500000,5.883400,0
4608,4608,0.500000,5.692499,0
4608,4608,0.500000,5.795628,0
4608,4608,0.500000,5.948165,0
4608,4608,0.500000,5.746362,0
4608,4608,0.500000,5.806258,0
5120,5120,0.500000,8.050351,0
5120,5120,0.500000,8.068137,0
5120,5120,0.500000,8.302920,0
5120,5120,0.500000,8.154312,0
5120,5120,0.500000,8.013511,0
5120,5120,0.500000,8.033084,0
5120,5120,0.500000,8.274991,0
5120,5120,0.500000,8.210091,0
5120,5120,0.500000,8.097527,0
5120,5120,0.500000,8.162924,0
5632,5632,0.500000,10.744530,1
5632,5632,0.500000,10.624142,1
5632,5632,0.500000,10.848340,1
5632,5632,0.500000,10.590166,1
5632,5632,0.500000,10.658369,1
5632,5632,0.500000,10.595279,1
5632,5632,0.500000,10.640439,1
5632,5632,0.500000,10.621617,1
5632,5632,0.500000,10.634522,1
5632,5632,0.500000,10.866291,1
6144,6144,0.500000,12.845201,0
6144,6144,0.500000,12.746150,0
6144,6144,0.500000,12.826023,0
6144,6144,0.500000,12.779893,0
6144,6144,0.500000,12.816235,0
6144,6144,0.500000,12.919329,0
6144,6144,0.500000,13.097248,0
6144,6144,0.500000,13.060892,0
6144,6144,0.500000,12.905266,0
6144,6144,0.500000,12.940947,0
6656,6656,0.500000,16.701288,0
6656,6656,0.500000,16.694210,0
6656,6656,0.500000,16.642076,0
6656,6656,0.500000,16.330099,0
6656,6656,0.500000,16.377230,0
6656,6656,0.500000,16.647953,0
6656,6656,0.500000,16.777982,0
6656,6656,0.500000,16.434551,0
6656,6656,0.500000,16.387171,0
6656,6656,0.500000,16.550576,0
7168,7168,0.500000,20.269884,1
7168,7168,0.500000,20.610280,1
7168,7168,0.500000,20.533995,1
7168,7168,0.500000,20.606006,1
7168,7168,0.500000,20.676618,1
7168,7168,0.500000,20.240629,1
7168,7168,0.500000,20.238191,1
7168,7168,0.500000,20.607284,1
7168,7168,0.500000,20.098318,1
7168,7168,0.500000,20.528259,1
7680,7680,0.500000,27.022678,1
7680,7680,0.500000,26.847502,1
7680,7680,0.500000,26.882642,1
7680,7680,0.500000,27.119592,1
7680,7680,0.500000,26.782212,1
7680,7680,0.500000,27.218911,1
7680,7680,0.500000,27.360037,1
7680,7680,0.500000,26.822533,1
7680,7680,0.500000,27.362958,1
7680,7680,0.500000,26.913912,1
8192,8192,0.500000,32.209786,1
8192,8192,0.500000,32.255147,1
8192,8192,0.500000,32.212677,1
8192,8192,0.500000,32.504856,1
8192,8192,0.500000,32.347784,1
8192,8192,0.500000,32.242973,1
8192,8192,0.500000,31.980719,1
8192,8192,0.500000,32.046134,1
8192,8192,0.500000,32.000483,1
8192,8192,0.500000,32.654244,1
8704,8704,0.500000,39.157071,1
8704,8704,0.500000,38.735387,1
8704,8704,0.500000,38.593910,1
8704,8704,0.500000,39.155623,1
8704,8704,0.500000,38.896733,1
8704,8704,0.500000,39.176101,1
8704,8704,0.500000,39.000821,1
8704,8704,0.500000,38.639883,1
8704,8704,0.500000,39.371826,1
8704,8704,0.500000,38.876359,1
9216,9216,0.500000,44.280243,0
9216,9216,0.500000,44.343796,0
9216,9216,0.500000,44.091678,0
9216,9216,0.500000,44.311016,0
9216,9216,0.500000,44.060547,0
9216,9216,0.500000,44.600311,0
9216,9216,0.500000,43.962470,0
9216,9216,0.500000,43.942867,0
9216,9216,0.500000,44.498636,0
9216,9216,0.500000,44.185263,0
9728,9728,0.500000,52.825998,1
9728,9728,0.500000,52.635181,1
9728,9728,0.500000,52.670964,1
9728,9728,0.500000,52.335718,1
9728,9728,0.500000,52.270549,1
9728,9728,0.500000,52.636605,1
9728,9728,0.500000,52.240618,1
9728,9728,0.500000,52.690015,1
9728,9728,0.500000,52.359991,1
9728,9728,0.500000,52.587206,1
10240,10240,0.500000,59.995639,1
10240,10240,0.500000,61.046462,1
10240,10240,0.500000,60.734762,1
10240,10240,0.500000,59.998954,1
10240,10240,0.500000,60.120265,1
10240,10240,0.500000,60.978307,1
10240,10240,0.500000,60.722918,1
10240,10240,0.500000,60.365328,1
10240,10240,0.500000,60.184593,1
10240,10240,0.500000,59.876911,1
