n,k,theta,tempo_esecuzione, result,check
512,512,0.300000,0.212750,1,1
512,512,0.300000,0.062252,1,1
512,512,0.300000,0.067896,1,1
512,512,0.300000,0.078869,1,1
512,512,0.300000,0.061341,1,1
512,512,0.300000,0.056525,1,1
512,512,0.300000,0.058019,1,1
512,512,0.300000,0.055289,1,1
512,512,0.300000,0.055608,1,1
512,512,0.300000,0.062146,1,1
1024,1024,0.300000,0.121374,1,1
1024,1024,0.300000,0.127460,1,1
1024,1024,0.300000,0.136326,1,1
1024,1024,0.300000,0.169442,1,1
1024,1024,0.300000,0.133614,1,1
1024,1024,0.300000,0.170132,1,1
1024,1024,0.300000,0.132691,1,1
1024,1024,0.300000,0.147034,1,1
1024,1024,0.300000,0.130973,1,1
1024,1024,0.300000,0.130684,1,1
1536,1536,0.300000,0.209568,1,1
1536,1536,0.300000,0.206158,1,1
1536,1536,0.300000,0.273333,1,1
1536,1536,0.300000,0.198332,1,1
1536,1536,0.300000,0.203171,1,1
1536,1536,0.300000,0.190338,1,1
1536,1536,0.300000,0.220201,1,1
1536,1536,0.300000,0.209581,1,1
1536,1536,0.300000,0.258651,1,1
1536,1536,0.300000,0.195854,1,1
2048,2048,0.300000,0.277472,1,1
2048,2048,0.300000,0.310756,1,1
2048,2048,0.300000,0.288785,1,1
2048,2048,0.300000,0.285933,1,1
2048,2048,0.300000,0.433584,1,1
2048,2048,0.300000,0.468983,1,1
2048,2048,0.300000,0.504662,1,1
2048,2048,0.300000,0.451621,1,1
2048,2048,0.300000,0.448622,1,1
2048,2048,0.300000,0.430401,1,1
2560,2560,0.300000,0.522056,0,1
2560,2560,0.300000,0.535819,0,1
2560,2560,0.300000,0.523149,0,1
2560,2560,0.300000,0.536444,0,1
2560,2560,0.300000,0.519414,0,1
2560,2560,0.300000,0.519186,0,1
2560,2560,0.300000,0.524893,0,1
2560,2560,0.300000,0.537168,0,1
2560,2560,0.300000,0.533740,0,1
2560,2560,0.300000,0.568660,0,1
3072,3072,0.300000,0.716050,0,1
3072,3072,0.300000,0.695639,0,1
3072,3072,0.300000,0.710231,0,1
3072,3072,0.300000,0.714781,0,1
3072,3072,0.300000,0.712105,0,1
3072,3072,0.300000,0.746480,0,1
3072,3072,0.300000,0.716429,0,1
3072,3072,0.300000,0.716383,0,1
3072,3072,0.300000,0.698778,0,1
3072,3072,0.300000,0.717046,0,1
3584,3584,0.300000,0.919069,1,1
3584,3584,0.300000,0.896747,1,1
3584,3584,0.300000,1.007825,1,1
3584,3584,0.300000,0.959960,1,1
3584,3584,0.300000,0.908521,1,1
3584,3584,0.300000,0.913713,1,1
3584,3584,0.300000,0.911739,1,1
3584,3584,0.300000,0.910005,1,1
3584,3584,0.300000,1.017552,1,1
3584,3584,0.300000,0.868181,1,1
4096,4096,0.300000,1.030246,0,1
4096,4096,0.300000,1.099349,0,1
4096,4096,0.300000,1.014774,0,1
4096,4096,0.300000,1.039222,0,1
4096,4096,0.300000,1.034142,0,1
4096,4096,0.300000,1.024076,0,1
4096,4096,0.300000,1.011264,0,1
4096,4096,0.300000,1.031557,0,1
4096,4096,0.300000,1.022747,0,1
4096,4096,0.300000,1.065909,0,1
4608,4608,0.300000,1.223625,0,1
4608,4608,0.300000,1.168615,0,1
4608,4608,0.300000,1.144009,0,1
4608,4608,0.300000,1.343758,0,1
4608,4608,0.300000,1.197644,0,1
4608,4608,0.300000,1.194531,0,1
4608,4608,0.300000,1.148436,0,1
4608,4608,0.300000,1.159632,0,1
4608,4608,0.300000,1.158104,0,1
4608,4608,0.300000,1.209505,0,1
5120,5120,0.300000,1.522186,0,1
5120,5120,0.300000,1.533377,0,1
5120,5120,0.300000,1.591226,0,1
5120,5120,0.300000,1.564622,0,1
5120,5120,0.300000,1.616965,0,1
5120,5120,0.300000,1.509491,0,1
5120,5120,0.300000,1.541165,0,1
5120,5120,0.300000,1.481934,0,1
5120,5120,0.300000,1.579644,0,1
5120,5120,0.300000,1.514926,0,1
5632,5632,0.300000,1.585658,0,1
5632,5632,0.300000,1.582907,0,1
5632,5632,0.300000,1.575056,0,1
5632,5632,0.300000,1.852332,0,1
5632,5632,0.300000,1.807415,0,1
5632,5632,0.300000,1.565632,0,1
5632,5632,0.300000,1.575388,0,1
5632,5632,0.300000,1.702251,0,1
5632,5632,0.300000,1.643186,0,1
5632,5632,0.300000,1.552150,0,1
6144,6144,0.300000,2.262128,0,1
6144,6144,0.300000,2.110020,0,1
6144,6144,0.300000,2.045155,0,1
6144,6144,0.300000,2.087245,0,1
6144,6144,0.300000,2.147875,0,1
6144,6144,0.300000,2.026292,0,1
6144,6144,0.300000,2.272993,0,1
6144,6144,0.300000,2.225253,0,1
6144,6144,0.300000,2.033353,0,1
6144,6144,0.300000,1.981180,0,1
6656,6656,0.300000,2.417810,0,1
6656,6656,0.300000,2.292166,0,1
6656,6656,0.300000,2.227712,0,1
6656,6656,0.300000,2.167330,0,1
6656,6656,0.300000,2.303447,0,1
6656,6656,0.300000,2.256555,0,1
6656,6656,0.300000,2.361694,0,1
6656,6656,0.300000,2.271586,0,1
6656,6656,0.300000,2.269805,0,1
6656,6656,0.300000,2.293070,0,1
7168,7168,0.300000,3.405188,1,1
7168,7168,0.300000,3.488722,1,1
7168,7168,0.300000,3.511959,1,1
7168,7168,0.300000,3.236821,1,1
7168,7168,0.300000,3.379982,1,1
7168,7168,0.300000,3.254629,1,1
7168,7168,0.300000,3.251909,1,1
7168,7168,0.300000,3.153790,1,1
7168,7168,0.300000,3.121467,1,1
7168,7168,0.300000,3.123997,1,1
7680,7680,0.300000,3.627377,1,1
7680,7680,0.300000,3.742601,1,1
7680,7680,0.300000,3.614773,1,1
7680,7680,0.300000,3.503233,1,1
7680,7680,0.300000,3.496404,1,1
7680,7680,0.300000,3.529283,1,1
7680,7680,0.300000,3.553873,1,1
7680,7680,0.300000,3.500133,1,1
7680,7680,0.300000,3.490681,1,1
7680,7680,0.300000,3.521858,1,1
8192,8192,0.300000,4.383963,1,1
8192,8192,0.300000,4.546815,1,1
8192,8192,0.300000,4.198359,1,1
8192,8192,0.300000,4.350686,1,1
8192,8192,0.300000,4.660672,1,1
8192,8192,0.300000,4.152957,1,1
8192,8192,0.300000,4.117744,1,1
8192,8192,0.300000,4.250947,1,1
8192,8192,0.300000,4.203098,1,1
8192,8192,0.300000,4.189711,1,1
8704,8704,0.300000,3.914954,0,1
8704,8704,0.300000,3.835450,0,1
8704,8704,0.300000,4.007041,0,1
8704,8704,0.300000,3.805851,0,1
8704,8704,0.300000,3.703672,0,1
8704,8704,0.300000,4.086867,0,1
8704,8704,0.300000,4.015646,0,1
8704,8704,0.300000,3.767086,0,1
8704,8704,0.300000,3.855512,0,1
8704,8704,0.300000,3.786394,0,1
9216,9216,0.300000,5.253824,1,1
9216,9216,0.300000,5.360896,1,1
9216,9216,0.300000,5.543072,1,1
9216,9216,0.300000,5.779317,1,1
9216,9216,0.300000,5.377162,1,1
9216,9216,0.300000,5.684696,1,1
9216,9216,0.300000,5.615323,1,1
9216,9216,0.300000,5.323030,1,1
9216,9216,0.300000,5.369527,1,1
9216,9216,0.300000,5.609486,1,1
9728,9728,0.300000,4.750392,0,1
9728,9728,0.300000,5.096919,0,1
9728,9728,0.300000,4.853110,0,1
9728,9728,0.300000,4.911497,0,1
9728,9728,0.300000,4.793452,0,1
9728,9728,0.300000,5.138892,0,1
9728,9728,0.300000,5.226558,0,1
9728,9728,0.300000,4.722909,0,1
9728,9728,0.300000,5.205991,0,1
9728,9728,0.300000,4.958940,0,1
10240,10240,0.300000,7.040842,1,1
10240,10240,0.300000,6.882632,1,1
10240,10240,0.300000,6.935220,1,1
10240,10240,0.300000,6.756799,1,1
10240,10240,0.300000,7.405982,1,1
10240,10240,0.300000,7.193184,1,1
10240,10240,0.300000,6.960111,1,1
10240,10240,0.300000,7.049824,1,1
10240,10240,0.300000,6.991764,1,1
10240,10240,0.300000,6.786241,1,1
