n,k,theta,tempo_esecuzione, result,check
512,512,0.700000,0.192902,0,1
512,512,0.700000,0.055892,0,1
512,512,0.700000,0.054879,0,1
512,512,0.700000,0.053848,0,1
512,512,0.700000,0.051736,0,1
512,512,0.700000,0.051728,0,1
512,512,0.700000,0.051634,0,1
512,512,0.700000,0.051757,0,1
512,512,0.700000,0.052581,0,1
512,512,0.700000,0.053841,0,1
1024,1024,0.700000,0.112297,0,1
1024,1024,0.700000,0.111684,0,1
1024,1024,0.700000,0.109010,0,1
1024,1024,0.700000,0.112690,0,1
1024,1024,0.700000,0.113241,0,1
1024,1024,0.700000,0.114334,0,1
1024,1024,0.700000,0.113794,0,1
1024,1024,0.700000,0.115684,0,1
1024,1024,0.700000,0.118958,0,1
1024,1024,0.700000,0.116070,0,1
1536,1536,0.700000,0.173582,0,1
1536,1536,0.700000,0.175089,0,1
1536,1536,0.700000,0.177485,0,1
1536,1536,0.700000,0.170694,0,1
1536,1536,0.700000,0.173854,0,1
1536,1536,0.700000,0.175782,0,1
1536,1536,0.700000,0.164894,0,1
1536,1536,0.700000,0.176181,0,1
1536,1536,0.700000,0.176713,0,1
1536,1536,0.700000,0.175241,0,1
2048,2048,0.700000,0.259572,1,1
2048,2048,0.700000,0.262159,1,1
2048,2048,0.700000,0.264197,1,1
2048,2048,0.700000,0.255435,1,1
2048,2048,0.700000,0.261816,1,1
2048,2048,0.700000,0.533599,1,1
2048,2048,0.700000,0.286893,1,1
2048,2048,0.700000,0.306537,1,1
2048,2048,0.700000,0.315487,1,1
2048,2048,0.700000,0.315974,1,1
2560,2560,0.700000,0.401759,0,1
2560,2560,0.700000,0.399903,0,1
2560,2560,0.700000,0.398719,0,1
2560,2560,0.700000,0.398494,0,1
2560,2560,0.700000,0.396006,0,1
2560,2560,0.700000,0.403962,0,1
2560,2560,0.700000,0.409119,0,1
2560,2560,0.700000,0.417134,0,1
2560,2560,0.700000,0.406412,0,1
2560,2560,0.700000,0.406826,0,1
3072,3072,0.700000,0.497512,0,1
3072,3072,0.700000,0.500836,0,1
3072,3072,0.700000,0.493970,0,1
3072,3072,0.700000,0.486275,0,1
3072,3072,0.700000,0.475254,0,1
3072,3072,0.700000,0.486220,0,1
3072,3072,0.700000,0.484151,0,1
3072,3072,0.700000,0.489134,0,1
3072,3072,0.700000,0.487205,0,1
3072,3072,0.700000,0.506977,0,1
3584,3584,0.700000,0.679415,1,1
3584,3584,0.700000,0.670281,1,1
3584,3584,0.700000,0.673230,1,1
3584,3584,0.700000,0.660545,1,1
3584,3584,0.700000,0.653730,1,1
3584,3584,0.700000,0.653808,1,1
3584,3584,0.700000,0.663551,1,1
3584,3584,0.700000,0.661664,1,1
3584,3584,0.700000,0.657183,1,1
3584,3584,0.700000,0.641368,1,1
4096,4096,0.700000,0.657830,0,1
4096,4096,0.700000,0.647042,0,1
4096,4096,0.700000,0.643414,0,1
4096,4096,0.700000,0.639550,0,1
4096,4096,0.700000,0.657705,0,1
4096,4096,0.700000,0.642788,0,1
4096,4096,0.700000,0.661321,0,1
4096,4096,0.700000,0.653605,0,1
4096,4096,0.700000,0.648102,0,1
4096,4096,0.700000,0.658016,0,1
4608,4608,0.700000,0.749688,0,1
4608,4608,0.700000,0.709652,0,1
4608,4608,0.700000,0.691467,0,1
4608,4608,0.700000,0.662262,0,1
4608,4608,0.700000,0.692153,0,1
4608,4608,0.700000,0.760228,0,1
4608,4608,0.700000,0.754161,0,1
4608,4608,0.700000,0.743425,0,1
4608,4608,0.700000,0.720044,0,1
4608,4608,0.700000,0.705297,0,1
5120,5120,0.700000,0.819124,0,1
5120,5120,0.700000,0.717637,0,1
5120,5120,0.700000,0.777085,0,1
5120,5120,0.700000,0.787050,0,1
5120,5120,0.700000,0.724440,0,1
5120,5120,0.700000,0.779005,0,1
5120,5120,0.700000,0.707260,0,1
5120,5120,0.700000,0.762833,0,1
5120,5120,0.700000,0.781359,0,1
5120,5120,0.700000,0.705161,0,1
5632,5632,0.700000,1.076871,1,1
5632,5632,0.700000,0.984375,1,1
5632,5632,0.700000,1.050730,1,1
5632,5632,0.700000,1.040492,1,1
5632,5632,0.700000,1.029302,1,1
5632,5632,0.700000,1.030281,1,1
5632,5632,0.700000,1.133688,1,1
5632,5632,0.700000,0.989837,1,1
5632,5632,0.700000,1.059577,1,1
5632,5632,0.700000,1.048733,1,1
6144,6144,0.700000,0.967509,0,1
6144,6144,0.700000,0.924045,0,1
6144,6144,0.700000,0.940278,0,1
6144,6144,0.700000,0.915437,0,1
6144,6144,0.700000,1.303837,0,1
6144,6144,0.700000,1.125745,0,1
6144,6144,0.700000,0.926363,0,1
6144,6144,0.700000,0.947634,0,1
6144,6144,0.700000,0.906877,0,1
6144,6144,0.700000,0.908726,0,1
6656,6656,0.700000,1.002087,0,1
6656,6656,0.700000,0.983023,0,1
6656,6656,0.700000,1.019698,0,1
6656,6656,0.700000,0.980054,0,1
6656,6656,0.700000,0.966627,0,1
6656,6656,0.700000,0.998799,0,1
6656,6656,0.700000,1.021175,0,1
6656,6656,0.700000,0.995472,0,1
6656,6656,0.700000,0.990432,0,1
6656,6656,0.700000,1.146163,0,1
7168,7168,0.700000,1.652646,1,1
7168,7168,0.700000,1.740041,1,1
7168,7168,0.700000,1.754229,1,1
7168,7168,0.700000,1.785861,1,1
7168,7168,0.700000,1.728993,1,1
7168,7168,0.700000,1.763567,1,1
7168,7168,0.700000,1.783423,1,1
7168,7168,0.700000,1.762487,1,1
7168,7168,0.700000,1.726477,1,1
7168,7168,0.700000,1.752781,1,1
7680,7680,0.700000,1.625881,0,1
7680,7680,0.700000,1.372093,0,1
7680,7680,0.700000,1.403347,0,1
7680,7680,0.700000,1.419294,0,1
7680,7680,0.700000,1.186572,0,1
7680,7680,0.700000,1.167323,0,1
7680,7680,0.700000,1.114063,0,1
7680,7680,0.700000,1.089009,0,1
7680,7680,0.700000,1.091180,0,1
7680,7680,0.700000,1.121291,0,1
8192,8192,0.700000,1.249870,0,1
8192,8192,0.700000,1.261358,0,1
8192,8192,0.700000,1.242173,0,1
8192,8192,0.700000,1.157528,0,1
8192,8192,0.700000,1.190683,0,1
8192,8192,0.700000,1.154339,0,1
8192,8192,0.700000,1.198899,0,1
8192,8192,0.700000,1.208015,0,1
8192,8192,0.700000,1.251163,0,1
8192,8192,0.700000,1.173435,0,1
8704,8704,0.700000,1.390803,0,1
8704,8704,0.700000,1.296745,0,1
