n,k,theta,tempo_esecuzione, result,check
512,512,0.300000,0.558967,1,1
512,512,0.300000,0.087977,1,1
512,512,0.300000,0.111138,1,1
512,512,0.300000,0.093193,1,1
512,512,0.300000,0.116755,1,1
512,512,0.300000,0.113121,1,1
512,512,0.300000,0.165565,1,1
512,512,0.300000,0.089503,1,1
512,512,0.300000,0.114699,1,1
512,512,0.300000,0.089758,1,1
1024,1024,0.300000,0.178927,1,1
1024,1024,0.300000,0.191029,1,1
1024,1024,0.300000,0.261994,1,1
1024,1024,0.300000,0.204190,1,1
1024,1024,0.300000,0.211862,1,1
1024,1024,0.300000,0.289057,1,1
1024,1024,0.300000,0.222915,1,1
1024,1024,0.300000,0.191629,1,1
1024,1024,0.300000,0.214283,1,1
1024,1024,0.300000,0.177032,1,1
1536,1536,0.300000,0.329925,1,1
1536,1536,0.300000,0.305459,1,1
1536,1536,0.300000,0.301112,1,1
1536,1536,0.300000,0.364750,1,1
1536,1536,0.300000,0.335917,1,1
1536,1536,0.300000,0.320161,1,1
1536,1536,0.300000,0.315527,1,1
1536,1536,0.300000,0.308319,1,1
1536,1536,0.300000,0.390497,1,1
1536,1536,0.300000,0.415811,1,1
2048,2048,0.300000,0.617220,1,1
2048,2048,0.300000,0.641336,1,1
2048,2048,0.300000,0.737850,1,1
2048,2048,0.300000,0.708640,1,1
2048,2048,0.300000,0.763449,1,1
2048,2048,0.300000,0.751114,1,1
2048,2048,0.300000,0.718788,1,1
2048,2048,0.300000,0.723142,1,1
2048,2048,0.300000,0.740240,1,1
2048,2048,0.300000,0.812542,1,1
2560,2560,0.300000,0.926851,0,1
2560,2560,0.300000,0.909809,0,1
2560,2560,0.300000,0.890165,0,1
2560,2560,0.300000,0.863550,0,1
2560,2560,0.300000,0.886008,0,1
2560,2560,0.300000,0.964353,0,1
2560,2560,0.300000,0.915216,0,1
2560,2560,0.300000,1.008521,0,1
2560,2560,0.300000,1.137155,0,1
2560,2560,0.300000,1.042387,0,1
3072,3072,0.300000,1.318006,0,1
3072,3072,0.300000,1.176143,0,1
3072,3072,0.300000,1.164492,0,1
3072,3072,0.300000,1.135090,0,1
3072,3072,0.300000,1.234692,0,1
3072,3072,0.300000,1.284049,0,1
3072,3072,0.300000,1.157691,0,1
3072,3072,0.300000,1.162231,0,1
3072,3072,0.300000,1.087065,0,1
3072,3072,0.300000,1.321381,0,1
3584,3584,0.300000,1.448244,1,1
3584,3584,0.300000,1.379479,1,1
3584,3584,0.300000,1.469634,1,1
3584,3584,0.300000,1.592395,1,1
3584,3584,0.300000,1.397776,1,1
3584,3584,0.300000,1.449189,1,1
3584,3584,0.300000,1.533366,1,1
