n,k,theta,tempo_esecuzione, result
512,512,0.500000,0.235303,0
512,512,0.500000,0.062642,0
512,512,0.500000,0.060731,0
512,512,0.500000,0.061588,0
512,512,0.500000,0.061261,0
512,512,0.500000,0.060302,0
512,512,0.500000,0.060918,0
512,512,0.500000,0.066808,0
512,512,0.500000,0.070249,0
512,512,0.500000,0.061048,0
1024,1024,0.500000,0.130322,0
1024,1024,0.500000,0.131086,0
1024,1024,0.500000,0.130750,0
1024,1024,0.500000,0.131719,0
1024,1024,0.500000,0.130420,0
1024,1024,0.500000,0.133169,0
1024,1024,0.500000,0.131924,0
1024,1024,0.500000,0.127072,0
1024,1024,0.500000,0.133756,0
1024,1024,0.500000,0.134205,0
1536,1536,0.500000,0.211121,0
1536,1536,0.500000,0.203568,0
1536,1536,0.500000,0.203588,0
1536,1536,0.500000,0.199738,0
1536,1536,0.500000,0.211552,0
1536,1536,0.500000,0.213250,0
1536,1536,0.500000,0.201655,0
1536,1536,0.500000,0.200301,0
1536,1536,0.500000,0.198383,0
1536,1536,0.500000,0.205615,0
2048,2048,0.500000,0.301239,0
2048,2048,0.500000,0.296868,0
2048,2048,0.500000,0.291887,0
2048,2048,0.500000,0.300360,0
2048,2048,0.500000,0.306376,0
2048,2048,0.500000,0.308637,0
2048,2048,0.500000,0.311989,0
2048,2048,0.500000,0.321924,0
2048,2048,0.500000,0.323374,0
2048,2048,0.500000,0.324789,0
2560,2560,0.500000,0.415740,0
2560,2560,0.500000,0.426064,0
2560,2560,0.500000,0.441334,0
2560,2560,0.500000,0.437193,0
2560,2560,0.500000,0.450374,0
2560,2560,0.500000,0.443109,0
2560,2560,0.500000,0.433111,0
2560,2560,0.500000,0.431677,0
2560,2560,0.500000,0.463654,0
2560,2560,0.500000,0.439794,0
3072,3072,0.500000,0.578273,0
3072,3072,0.500000,0.530745,0
3072,3072,0.500000,0.517982,0
3072,3072,0.500000,0.523275,0
3072,3072,0.500000,0.537931,0
3072,3072,0.500000,0.525625,0
3072,3072,0.500000,0.510207,0
3072,3072,0.500000,0.534742,0
3072,3072,0.500000,0.526670,0
3072,3072,0.500000,0.497846,0
3584,3584,0.500000,0.669187,1
3584,3584,0.500000,0.669059,1
3584,3584,0.500000,0.685117,1
3584,3584,0.500000,0.677500,1
3584,3584,0.500000,0.689390,1
3584,3584,0.500000,0.708150,1
3584,3584,0.500000,0.691024,1
3584,3584,0.500000,0.696054,1
3584,3584,0.500000,0.703584,1
3584,3584,0.500000,0.700156,1
4096,4096,0.500000,0.734153,0
4096,4096,0.500000,0.695923,0
4096,4096,0.500000,0.686593,0
4096,4096,0.500000,0.709868,0
4096,4096,0.500000,0.709190,0
4096,4096,0.500000,0.701874,0
4096,4096,0.500000,0.698355,0
4096,4096,0.500000,0.701900,0
4096,4096,0.500000,0.688744,0
4096,4096,0.500000,0.698744,0
4608,4608,0.500000,0.834368,0
4608,4608,0.500000,0.827911,0
4608,4608,0.500000,0.823580,0
4608,4608,0.500000,0.825769,0
4608,4608,0.500000,0.835831,0
4608,4608,0.500000,0.835562,0
4608,4608,0.500000,0.847456,0
4608,4608,0.500000,0.835601,0
4608,4608,0.500000,0.846401,0
4608,4608,0.500000,0.838998,0
5120,5120,0.500000,1.117972,0
5120,5120,0.500000,1.114499,0
5120,5120,0.500000,1.108315,0
5120,5120,0.500000,1.125856,0
5120,5120,0.500000,1.124149,0
5120,5120,0.500000,1.208306,0
5120,5120,0.500000,1.135341,0
5120,5120,0.500000,1.119894,0
5120,5120,0.500000,1.129000,0
5120,5120,0.500000,1.113395,0
5632,5632,0.500000,1.549654,1
5632,5632,0.500000,1.569065,1
5632,5632,0.500000,1.560567,1
5632,5632,0.500000,1.561114,1
5632,5632,0.500000,1.563985,1
5632,5632,0.500000,1.562083,1
5632,5632,0.500000,1.562444,1
5632,5632,0.500000,1.569895,1
5632,5632,0.500000,1.567739,1
5632,5632,0.500000,1.582425,1
6144,6144,0.500000,1.749849,0
6144,6144,0.500000,1.735226,0
6144,6144,0.500000,1.726435,0
6144,6144,0.500000,1.729195,0
6144,6144,0.500000,1.736230,0
6144,6144,0.500000,1.726814,0
6144,6144,0.500000,1.713987,0
6144,6144,0.500000,1.752402,0
6144,6144,0.500000,1.727124,0
6144,6144,0.500000,1.725669,0
6656,6656,0.500000,2.126320,0
6656,6656,0.500000,2.148047,0
6656,6656,0.500000,2.151592,0
6656,6656,0.500000,2.145100,0
6656,6656,0.500000,2.170385,0
6656,6656,0.500000,2.158248,0
6656,6656,0.500000,2.856474,0
6656,6656,0.500000,3.012999,0
6656,6656,0.500000,3.029973,0
6656,6656,0.500000,3.033366,0
7168,7168,0.500000,4.115218,1
7168,7168,0.500000,4.001598,1
7168,7168,0.500000,3.949847,1
7168,7168,0.500000,3.962487,1
7168,7168,0.500000,4.150782,1
7168,7168,0.500000,4.025685,1
7168,7168,0.500000,4.017170,1
7168,7168,0.500000,3.997885,1
