n,k,theta,tempo_esecuzione, result,check
512,512,0.700000,0.571408,0,1
512,512,0.700000,0.090564,0,1
512,512,0.700000,0.090924,0,1
512,512,0.700000,0.116488,0,1
512,512,0.700000,0.109327,0,1
512,512,0.700000,0.089939,0,1
512,512,0.700000,0.086257,0,1
512,512,0.700000,0.086101,0,1
512,512,0.700000,0.086414,0,1
512,512,0.700000,0.087443,0,1
1024,1024,0.700000,0.177337,0,1
1024,1024,0.700000,0.169866,0,1
1024,1024,0.700000,0.160403,0,1
1024,1024,0.700000,0.166127,0,1
1024,1024,0.700000,0.196808,0,1
1024,1024,0.700000,0.172964,0,1
1024,1024,0.700000,0.190640,0,1
1024,1024,0.700000,0.238645,0,1
1024,1024,0.700000,0.261408,0,1
1024,1024,0.700000,0.222465,0,1
1536,1536,0.700000,0.375356,0,1
1536,1536,0.700000,0.361389,0,1
1536,1536,0.700000,0.308302,0,1
1536,1536,0.700000,0.280239,0,1
1536,1536,0.700000,0.262672,0,1
1536,1536,0.700000,0.379310,0,1
1536,1536,0.700000,0.284388,0,1
1536,1536,0.700000,0.319723,0,1
1536,1536,0.700000,0.380123,0,1
1536,1536,0.700000,0.463193,0,1
2048,2048,0.700000,0.653474,1,1
2048,2048,0.700000,0.686644,1,1
2048,2048,0.700000,0.736480,1,1
2048,2048,0.700000,0.744724,1,1
2048,2048,0.700000,0.767213,1,1
2048,2048,0.700000,0.738515,1,1
2048,2048,0.700000,0.720848,1,1
2048,2048,0.700000,0.773915,1,1
2048,2048,0.700000,0.810744,1,1
2048,2048,0.700000,0.794915,1,1
2560,2560,0.700000,1.011558,0,1
2560,2560,0.700000,0.959847,0,1
2560,2560,0.700000,0.949829,0,1
2560,2560,0.700000,0.870611,0,1
2560,2560,0.700000,1.004434,0,1
2560,2560,0.700000,0.863354,0,1
2560,2560,0.700000,0.963307,0,1
2560,2560,0.700000,0.846880,0,1
2560,2560,0.700000,0.883246,0,1
2560,2560,0.700000,0.848590,0,1
3072,3072,0.700000,1.080010,0,1
3072,3072,0.700000,1.095657,0,1
3072,3072,0.700000,1.001342,0,1
3072,3072,0.700000,0.915722,0,1
3072,3072,0.700000,0.961965,0,1
3072,3072,0.700000,1.112107,0,1
3072,3072,0.700000,1.329413,0,1
3072,3072,0.700000,1.105126,0,1
3072,3072,0.700000,1.151019,0,1
3072,3072,0.700000,1.157110,0,1
3584,3584,0.700000,1.409651,1,1
3584,3584,0.700000,1.499002,1,1
3584,3584,0.700000,1.400720,1,1
3584,3584,0.700000,1.447584,1,1
3584,3584,0.700000,1.261629,1,1
3584,3584,0.700000,1.276351,1,1
3584,3584,0.700000,1.403734,1,1
3584,3584,0.700000,1.278484,1,1
3584,3584,0.700000,1.377970,1,1
3584,3584,0.700000,1.493427,1,1
4096,4096,0.700000,1.709074,0,1
4096,4096,0.700000,1.429730,0,1
4096,4096,0.700000,1.196689,0,1
4096,4096,0.700000,1.170532,0,1
4096,4096,0.700000,1.363745,0,1
4096,4096,0.700000,1.350381,0,1
4096,4096,0.700000,1.234374,0,1
4096,4096,0.700000,1.394665,0,1
4096,4096,0.700000,1.659387,0,1
4096,4096,0.700000,1.580379,0,1
4608,4608,0.700000,1.774057,0,1
4608,4608,0.700000,1.501956,0,1
4608,4608,0.700000,1.591495,0,1
4608,4608,0.700000,1.663412,0,1
4608,4608,0.700000,1.518059,0,1
4608,4608,0.700000,1.517274,0,1
4608,4608,0.700000,1.356661,0,1
4608,4608,0.700000,1.431970,0,1
4608,4608,0.700000,1.555697,0,1
4608,4608,0.700000,1.779339,0,1
5120,5120,0.700000,1.986202,0,1
5120,5120,0.700000,1.431158,0,1
5120,5120,0.700000,1.251596,0,1
5120,5120,0.700000,1.353931,0,1
5120,5120,0.700000,1.576307,0,1
5120,5120,0.700000,1.398847,0,1
5120,5120,0.700000,1.627201,0,1
5120,5120,0.700000,1.592556,0,1
5120,5120,0.700000,1.744529,0,1
5120,5120,0.700000,1.413657,0,1
5632,5632,0.700000,2.154826,1,1
5632,5632,0.700000,2.198254,1,1
5632,5632,0.700000,2.129780,1,1
5632,5632,0.700000,2.013757,1,1
5632,5632,0.700000,2.247578,1,1
5632,5632,0.700000,2.275840,1,1
5632,5632,0.700000,1.912047,1,1
5632,5632,0.700000,2.163790,1,1
5632,5632,0.700000,2.244150,1,1
5632,5632,0.700000,2.441762,1,1
6144,6144,0.700000,2.087678,0,1
6144,6144,0.700000,2.024900,0,1
6144,6144,0.700000,2.231245,0,1
6144,6144,0.700000,1.983049,0,1
6144,6144,0.700000,1.804178,0,1
6144,6144,0.700000,1.901965,0,1
6144,6144,0.700000,2.007142,0,1
6144,6144,0.700000,2.403456,0,1
6144,6144,0.700000,2.495204,0,1
6144,6144,0.700000,2.390515,0,1
6656,6656,0.700000,2.136006,0,1
6656,6656,0.700000,2.330936,0,1
6656,6656,0.700000,2.354390,0,1
6656,6656,0.700000,2.425547,0,1
6656,6656,0.700000,2.268123,0,1
6656,6656,0.700000,2.147182,0,1
6656,6656,0.700000,1.905168,0,1
6656,6656,0.700000,2.378249,0,1
6656,6656,0.700000,2.248412,0,1
6656,6656,0.700000,2.038560,0,1
7168,7168,0.700000,2.719769,1,1
7168,7168,0.700000,3.200623,1,1
7168,7168,0.700000,3.186586,1,1
7168,7168,0.700000,2.883381,1,1
7168,7168,0.700000,3.093164,1,1
7168,7168,0.700000,2.920311,1,1
7168,7168,0.700000,2.975384,1,1
7168,7168,0.700000,3.555160,1,1
7168,7168,0.700000,2.999715,1,1
7168,7168,0.700000,3.037379,1,1
7680,7680,0.700000,2.802368,0,1
7680,7680,0.700000,3.361153,0,1
7680,7680,0.700000,2.829045,0,1
7680,7680,0.700000,2.824324,0,1
7680,7680,0.700000,3.003626,0,1
7680,7680,0.700000,2.682085,0,1
7680,7680,0.700000,2.870294,0,1
7680,7680,0.700000,2.900627,0,1
7680,7680,0.700000,2.938995,0,1
7680,7680,0.700000,2.914710,0,1
8192,8192,0.700000,3.172578,0,1
8192,8192,0.700000,3.183373,0,1
8192,8192,0.700000,3.085095,0,1
8192,8192,0.700000,3.320220,0,1
8192,8192,0.700000,3.150347,0,1
8192,8192,0.700000,3.020031,0,1
8192,8192,0.700000,2.877610,0,1
8192,8192,0.700000,3.446567,0,1
8192,8192,0.700000,3.095149,0,1
8192,8192,0.700000,3.328101,0,1
8704,8704,0.700000,3.796307,0,1
8704,8704,0.700000,3.848444,0,1
8704,8704,0.700000,3.555579,0,1
8704,8704,0.700000,3.555563,0,1
8704,8704,0.700000,3.346373,0,1
8704,8704,0.700000,3.707021,0,1
8704,8704,0.700000,3.543860,0,1
8704,8704,0.700000,3.468817,0,1
8704,8704,0.700000,3.277197,0,1
8704,8704,0.700000,3.556381,0,1
9216,9216,0.700000,3.880163,0,1
9216,9216,0.700000,3.963886,0,1
9216,9216,0.700000,4.281912,0,1
9216,9216,0.700000,4.506120,0,1
9216,9216,0.700000,3.932293,0,1
9216,9216,0.700000,3.978551,0,1
9216,9216,0.700000,4.527973,0,1
9216,9216,0.700000,4.240056,0,1
9216,9216,0.700000,4.660856,0,1
9216,9216,0.700000,4.104126,0,1
9728,9728,0.700000,5.823620,1,1
9728,9728,0.700000,5.738934,1,1
9728,9728,0.700000,5.486181,1,1
9728,9728,0.700000,5.630450,1,1
9728,9728,0.700000,5.203388,1,1
9728,9728,0.700000,5.399519,1,1
9728,9728,0.700000,5.342466,1,1
9728,9728,0.700000,5.520425,1,1
9728,9728,0.700000,5.634599,1,1
9728,9728,0.700000,5.530109,1,1
10240,10240,0.700000,5.888263,1,1
10240,10240,0.700000,6.109850,1,1
10240,10240,0.700000,5.596282,1,1
10240,10240,0.700000,5.747689,1,1
10240,10240,0.700000,6.006253,1,1
10240,10240,0.700000,5.839799,1,1
10240,10240,0.700000,6.091245,1,1
10240,10240,0.700000,5.832414,1,1
10240,10240,0.700000,5.768423,1,1
10240,10240,0.700000,5.940492,1,1
10752,10752,0.700000,5.491028,0,1
10752,10752,0.700000,5.628259,0,1
10752,10752,0.700000,5.687769,0,1
10752,10752,0.700000,5.844735,0,1
10752,10752,0.700000,5.632826,0,1
10752,10752,0.700000,5.920938,0,1
10752,10752,0.700000,5.664049,0,1
10752,10752,0.700000,5.751316,0,1
10752,10752,0.700000,5.934192,0,1
10752,10752,0.700000,5.826323,0,1
11264,11264,0.700000,6.175962,0,1
11264,11264,0.700000,6.257285,0,1
11264,11264,0.700000,6.263381,0,1
11264,11264,0.700000,5.924979,0,1
11264,11264,0.700000,6.085074,0,1
11264,11264,0.700000,5.981771,0,1
11264,11264,0.700000,6.336945,0,1
11264,11264,0.700000,6.007675,0,1
11264,11264,0.700000,5.837509,0,1
11264,11264,0.700000,6.093653,0,1
11776,11776,0.700000,6.675172,0,1
11776,11776,0.700000,6.313047,0,1
11776,11776,0.700000,6.718429,0,1
11776,11776,0.700000,6.467004,0,1
11776,11776,0.700000,6.670760,0,1
11776,11776,0.700000,6.626132,0,1
11776,11776,0.700000,6.780757,0,1
11776,11776,0.700000,6.863319,0,1
11776,11776,0.700000,6.504620,0,1
11776,11776,0.700000,6.686829,0,1
12288,12288,0.700000,7.014104,0,1
12288,12288,0.700000,7.163326,0,1
12288,12288,0.700000,7.167095,0,1
12288,12288,0.700000,7.283430,0,1
12288,12288,0.700000,7.154398,0,1
12288,12288,0.700000,6.889423,0,1
12288,12288,0.700000,6.843071,0,1
12288,12288,0.700000,6.892320,0,1
12288,12288,0.700000,6.888532,0,1
12288,12288,0.700000,6.974027,0,1
12800,12800,0.700000,9.263401,1,1
12800,12800,0.700000,9.098025,1,1
12800,12800,0.700000,9.032389,1,1
12800,12800,0.700000,9.239658,1,1
12800,12800,0.700000,8.960562,1,1
12800,12800,0.700000,9.036061,1,1
12800,12800,0.700000,9.049086,1,1
12800,12800,0.700000,9.262960,1,1
12800,12800,0.700000,9.042586,1,1
12800,12800,0.700000,9.006081,1,1
13312,13312,0.700000,8.158029,0,1
13312,13312,0.700000,8.166523,0,1
13312,13312,0.700000,8.030095,0,1
13312,13312,0.700000,8.264730,0,1
13312,13312,0.700000,8.275931,0,1
13312,13312,0.700000,8.050775,0,1
13312,13312,0.700000,8.133570,0,1
13312,13312,0.700000,8.075934,0,1
13312,13312,0.700000,8.149056,0,1
13312,13312,0.700000,8.214750,0,1
13824,13824,0.700000,10.718447,1,1
13824,13824,0.700000,10.491473,1,1
13824,13824,0.700000,10.568449,1,1
13824,13824,0.700000,10.860214,1,1
13824,13824,0.700000,10.676897,1,1
13824,13824,0.700000,10.425301,1,1
13824,13824,0.700000,10.363748,1,1
13824,13824,0.700000,10.255122,1,1
13824,13824,0.700000,10.583312,1,1
13824,13824,0.700000,10.304679,1,1
14336,14336,0.700000,11.346513,1,1
14336,14336,0.700000,11.334777,1,1
14336,14336,0.700000,11.319852,1,1
14336,14336,0.700000,11.234302,1,1
14336,14336,0.700000,11.499753,1,1
14336,14336,0.700000,10.828414,1,1
14336,14336,0.700000,11.139211,1,1
14336,14336,0.700000,11.207035,1,1
14336,14336,0.700000,11.185505,1,1
14336,14336,0.700000,10.928431,1,1
14848,14848,0.700000,10.390424,0,1
14848,14848,0.700000,10.464941,0,1
14848,14848,0.700000,10.600633,0,1
14848,14848,0.700000,10.712429,0,1
14848,14848,0.700000,10.367335,0,1
14848,14848,0.700000,10.624932,0,1
14848,14848,0.700000,10.772756,0,1
14848,14848,0.700000,10.463407,0,1
14848,14848,0.700000,10.416558,0,1
14848,14848,0.700000,10.285199,0,1
15360,15360,0.700000,11.327156,0,1
15360,15360,0.700000,11.258926,0,1
15360,15360,0.700000,11.271484,0,1
15360,15360,0.700000,11.405067,0,1
15360,15360,0.700000,11.335893,0,1
15360,15360,0.700000,11.316671,0,1
15360,15360,0.700000,10.982648,0,1
15360,15360,0.700000,11.045815,0,1
15360,15360,0.700000,11.077373,0,1
15360,15360,0.700000,11.119836,0,1
15872,15872,0.700000,13.729762,1,1
15872,15872,0.700000,13.766608,1,1
15872,15872,0.700000,13.775014,1,1
15872,15872,0.700000,13.898187,1,1
15872,15872,0.700000,14.108597,1,1
15872,15872,0.700000,13.840100,1,1
15872,15872,0.700000,14.559054,1,1
15872,15872,0.700000,13.882399,1,1
15872,15872,0.700000,13.865425,1,1
15872,15872,0.700000,13.833876,1,1
16384,16384,0.700000,14.840749,1,1
16384,16384,0.700000,14.700975,1,1
16384,16384,0.700000,14.567892,1,1
16384,16384,0.700000,14.249338,1,1
16384,16384,0.700000,15.035910,1,1
16384,16384,0.700000,14.638807,1,1
16384,16384,0.700000,14.574316,1,1
16384,16384,0.700000,14.601399,1,1
16384,16384,0.700000,14.641120,1,1
16384,16384,0.700000,14.727536,1,1
16896,16896,0.700000,15.795854,1,1
16896,16896,0.700000,15.936982,1,1
16896,16896,0.700000,16.028656,1,1
16896,16896,0.700000,15.769478,1,1
16896,16896,0.700000,15.638364,1,1
16896,16896,0.700000,15.575509,1,1
16896,16896,0.700000,16.073876,1,1
16896,16896,0.700000,15.531229,1,1
16896,16896,0.700000,16.249173,1,1
16896,16896,0.700000,15.570019,1,1
17408,17408,0.700000,14.102650,0,1
17408,17408,0.700000,14.250778,0,1
17408,17408,0.700000,14.441724,0,1
17408,17408,0.700000,14.337587,0,1
17408,17408,0.700000,14.269157,0,1
